calls,mean_ms,total_ms,rows,hit_pct,query
27,2.6,69,27,,"SELECT setting, current_timestamp FROM pg_catalog.pg_settings WHERE name = $1"
3,17.6,53,3,100.0,"SELECT default_version, installed_version FROM pg_catalog.pg_available_extensions WHERE name = $1"
300,0.1,44,1200,96.1,/* SELECT ut FROM UserFocusTag ut JOIN FETCH ut.defaultTag WHERE ut.user = :user AND ut.deletedAt IS NULL */ select uft1
300,0.1,43,288,100.0,/* UPDATE User u SET u.lastActiveAt = :now WHERE u.id = :id AND u.lastActiveAt < :startOfTodayKst */ update users u1_0 s
3,8.6,26,18,100.0,"SELECT d.datname, pg_catalog.pg_database_size(d.datname), current_timestamp FROM pg_catalog.pg_database d ORDER BY d.dat"
3,3.5,10,3,,"SELECT
	(SELECT setting=$1 FROM pg_catalog.pg_settings WHERE name=$2) AND
	(SELECT setting=$3 FROM pg_catalog.pg_setting"
300,0.0,10,300,100.0,"select u1_0.id,u1_0.country_code,u1_0.created_at,u1_0.device_token,u1_0.is_deleted,u1_0.is_guest,u1_0.last_active_at,u1_"
4,1.8,7,4,,SELECT setting AS max_autovacuum_workers from pg_catalog.pg_settings WHERE name=$1
3,1.9,6,3,100.0,"SELECT
			COALESCE(sum(psat.n_tup_upd), $1) AS total_update_count,
			COALESCE(sum(psat.n_tup_hot_upd), $2) AS hot_updat"
3,1.5,4,3,100.0,"SELECT
			COALESCE(sum(psat.n_tup_upd), $1) AS total_update_count,
			COALESCE(sum(psat.n_tup_hot_upd), $2) AS hot_updat"
300,0.0,4,0,,BEGIN READ ONLY
3,1.0,3,3,100.0,"SELECT
    sum(psat.autovacuum_count) AS total_autovacuum_count,
    sum(psat.autoanalyze_count) AS total_autoanalyze_co"
1,3.0,3,1,,SELECT pg_stat_statements_reset()
3,0.9,3,3,100.0,"SELECT
			COALESCE(sum(psat.n_tup_upd), $1) AS total_update_count,
			COALESCE(sum(psat.n_tup_hot_upd), $2) AS hot_updat"
3,0.9,3,3,100.0,"SELECT
    sum(psat.autovacuum_count) AS total_autovacuum_count,
    sum(psat.autoanalyze_count) AS total_autoanalyze_co"
300,0.0,2,0,,BEGIN
1,2.1,2,1,,select (select setting=$1 from pg_catalog.pg_settings where name=$2) AND (select setting=$3 from pg_catalog.pg_settings 
3,0.5,2,3,100.0,"SELECT
    sum(psat.autovacuum_count) AS total_autovacuum_count,
    sum(psat.autoanalyze_count) AS total_autoanalyze_co"
3,0.4,1,3,100.0,"SELECT COALESCE(SUM(pg_stat_get_live_tuples(c.oid)), $1) AS n_live_tup, COALESCE(SUM(pg_stat_get_dead_tuples(c.oid)), $2"
3,0.4,1,3,100.0,"SELECT COALESCE(SUM(pg_stat_get_live_tuples(c.oid)), $1) AS n_live_tup, COALESCE(SUM(pg_stat_get_dead_tuples(c.oid)), $2"
