calls,mean_ms,total_ms,rows,hit_pct,query
96,1.3,125,96,100.0,SELECT pg_database_size($1)
16,4.8,76,608,100.0,"SELECT
		current_database() datname,
		schemaname,
		relname,
		seq_scan,
		seq_tup_read,
		idx_scan,
		idx_tup_fetch,
	"
301,0.2,46,288,100.0,/* UPDATE User u SET u.lastActiveAt = :now WHERE u.id = :id AND u.lastActiveAt < :startOfTodayKst */ update users u1_0 s
301,0.2,46,1204,96.9,/* SELECT ut FROM UserFocusTag ut JOIN FETCH ut.defaultTag WHERE ut.user = :user AND ut.deletedAt IS NULL */ select uft1
18,2.3,42,18,,"SELECT setting, current_timestamp FROM pg_catalog.pg_settings WHERE name = $1"
4,10.4,42,4,100.0,"SELECT default_version, installed_version FROM pg_catalog.pg_available_extensions WHERE name = $1"
16,2.1,34,5728,,"SELECT name, setting, COALESCE(unit, $1), short_desc, vartype FROM pg_settings WHERE vartype IN ($2, $3, $4) AND name !="
2,9.2,18,12,100.0,"SELECT d.datname, pg_catalog.pg_database_size(d.datname), current_timestamp FROM pg_catalog.pg_database d ORDER BY d.dat"
16,0.8,13,864,100.0,"SELECT 
		  pg_database.datname as datname,
		  tmp.mode as mode,
		  COALESCE(count, $1) as count 
		FROM 
		  (
		    "
301,0.0,12,301,100.0,"select u1_0.id,u1_0.country_code,u1_0.created_at,u1_0.device_token,u1_0.is_deleted,u1_0.is_guest,u1_0.last_active_at,u1_"
16,0.7,11,16,,"SELECT
			COUNT(*) AS segments,
			SUM(size) AS size
		FROM pg_ls_waldir()
		WHERE name ~ $1"
16,0.7,11,608,100.0,"SELECT
		current_database() datname,
		schemaname,
		relname,
		heap_blks_read,
		heap_blks_hit,
		idx_blks_read,
		idx_"
2,4.0,8,2,,"SELECT
	(SELECT setting=$1 FROM pg_catalog.pg_settings WHERE name=$2) AND
	(SELECT setting=$3 FROM pg_catalog.pg_setting"
2,2.8,6,2,100.0,"SELECT
			COALESCE(sum(psat.n_tup_upd), $1) AS total_update_count,
			COALESCE(sum(psat.n_tup_hot_upd), $2) AS hot_updat"
301,0.0,4,0,,BEGIN READ ONLY
16,0.3,4,577,100.0,"SELECT
				pg_database.datname,
				tmp.state,
				tmp2.usename,
				tmp2.application_name,
				COALESCE(count,$1) as co"
3,1.3,4,3,,SELECT setting AS max_autovacuum_workers from pg_catalog.pg_settings WHERE name=$1
2,1.8,4,2,100.0,"SELECT
			COALESCE(sum(psat.n_tup_upd), $1) AS total_update_count,
			COALESCE(sum(psat.n_tup_hot_upd), $2) AS hot_updat"
301,0.0,3,0,,BEGIN
2,1.1,2,2,,"SELECT COUNT(*) as count, COALESCE(wait_event, $1), COALESCE(wait_event_type, $2), backend_type, current_timestamp
		FRO"
