calls,mean_ms,total_ms,rows,hit_pct,query
129,3254.2,419796,4906,100.0,/* SELECT f FROM Friendship f WHERE f.status = 'ACCEPTED' AND f.deletedAt IS NULL AND (f.fromUser = :me OR f.toUser = :m
36,1908.4,68704,1404,100.0,/* SELECT m FROM LeagueArenaUser m JOIN FETCH m.user JOIN m.leagueArena la WHERE m.user.id IN :userIds AND la.status = :
28,2137.3,59844,1036,100.0,/* SELECT m FROM LeagueArenaUser m JOIN FETCH m.user JOIN m.leagueArena la WHERE m.user.id IN :userIds AND la.status = :
30,1714.4,51433,1140,100.0,/* SELECT m FROM LeagueArenaUser m JOIN FETCH m.user JOIN m.leagueArena la WHERE m.user.id IN :userIds AND la.status = :
19,1675.6,31836,760,100.0,/* SELECT m FROM LeagueArenaUser m JOIN FETCH m.user JOIN m.leagueArena la WHERE m.user.id IN :userIds AND la.status = :
11,1851.3,20364,396,100.0,/* SELECT m FROM LeagueArenaUser m JOIN FETCH m.user JOIN m.leagueArena la WHERE m.user.id IN :userIds AND la.status = :
2,1644.1,3288,70,100.0,/* SELECT m FROM LeagueArenaUser m JOIN FETCH m.user JOIN m.leagueArena la WHERE m.user.id IN :userIds AND la.status = :
2,1212.5,2425,66,100.0,/* SELECT m FROM LeagueArenaUser m JOIN FETCH m.user JOIN m.leagueArena la WHERE m.user.id IN :userIds AND la.status = :
1,2330.0,2330,34,100.0,/* SELECT m FROM LeagueArenaUser m JOIN FETCH m.user JOIN m.leagueArena la WHERE m.user.id IN :userIds AND la.status = :
18,54.6,983,684,100.0,"SELECT
		current_database() datname,
		schemaname,
		relname,
		seq_scan,
		seq_tup_read,
		idx_scan,
		idx_tup_fetch,
	"
108,6.1,658,108,100.0,SELECT pg_database_size($1)
3,108.7,326,3,100.0,"SELECT default_version, installed_version FROM pg_catalog.pg_available_extensions WHERE name = $1"
27,11.0,297,27,,"SELECT setting, current_timestamp FROM pg_catalog.pg_settings WHERE name = $1"
18,14.9,269,6444,,"SELECT name, setting, COALESCE(unit, $1), short_desc, vartype FROM pg_settings WHERE vartype IN ($2, $3, $4) AND name !="
18,12.6,226,972,100.0,"SELECT 
		  pg_database.datname as datname,
		  tmp.mode as mode,
		  COALESCE(count, $1) as count 
		FROM 
		  (
		    "
3,61.2,184,18,100.0,"SELECT d.datname, pg_catalog.pg_database_size(d.datname), current_timestamp FROM pg_catalog.pg_database d ORDER BY d.dat"
18,5.4,97,684,100.0,"SELECT
		current_database() datname,
		schemaname,
		relname,
		heap_blks_read,
		heap_blks_hit,
		idx_blks_read,
		idx_"
3,30.2,91,3,,"SELECT
	(SELECT setting=$1 FROM pg_catalog.pg_settings WHERE name=$2) AND
	(SELECT setting=$3 FROM pg_catalog.pg_setting"
5,8.9,45,5,,select setting from pg_catalog.pg_settings where name=$1
18,2.4,44,18,,"SELECT
			COUNT(*) AS segments,
			SUM(size) AS size
		FROM pg_ls_waldir()
		WHERE name ~ $1"
