calls,mean_ms,total_ms,rows,hit_pct,query
4,63915.8,255663,84,29.3,/* SELECT s FROM FocusSession s WHERE s.user = :user AND s.startedAt BETWEEN :from AND :to AND (:cursor IS NULL OR s.id 
22,56.2,1237,836,100.0,"SELECT
		current_database() datname,
		schemaname,
		relname,
		seq_scan,
		seq_tup_read,
		idx_scan,
		idx_tup_fetch,
	"
132,8.3,1091,132,100.0,SELECT pg_database_size($1)
3,224.5,673,3,100.0,"SELECT default_version, installed_version FROM pg_catalog.pg_available_extensions WHERE name = $1"
27,15.6,420,27,,"SELECT setting, current_timestamp FROM pg_catalog.pg_settings WHERE name = $1"
22,15.2,335,7876,,"SELECT name, setting, COALESCE(unit, $1), short_desc, vartype FROM pg_settings WHERE vartype IN ($2, $3, $4) AND name !="
3,100.0,300,18,100.0,"SELECT d.datname, pg_catalog.pg_database_size(d.datname), current_timestamp FROM pg_catalog.pg_database d ORDER BY d.dat"
22,9.5,208,1188,100.0,"SELECT 
		  pg_database.datname as datname,
		  tmp.mode as mode,
		  COALESCE(count, $1) as count 
		FROM 
		  (
		    "
22,8.4,184,836,100.0,"SELECT
		current_database() datname,
		schemaname,
		relname,
		heap_blks_read,
		heap_blks_hit,
		idx_blks_read,
		idx_"
3,53.5,160,3,,"SELECT
	(SELECT setting=$1 FROM pg_catalog.pg_settings WHERE name=$2) AND
	(SELECT setting=$3 FROM pg_catalog.pg_setting"
22,5.8,128,815,100.0,"SELECT
				pg_database.datname,
				tmp.state,
				tmp2.usename,
				tmp2.application_name,
				COALESCE(count,$1) as co"
22,2.9,64,22,,"SELECT
			COUNT(*) AS segments,
			SUM(size) AS size
		FROM pg_ls_waldir()
		WHERE name ~ $1"
5,12.4,62,5,,select setting from pg_catalog.pg_settings where name=$1
2,22.0,44,2,,select (select setting=$1 from pg_catalog.pg_settings where name=$2) AND (select setting=$3 from pg_catalog.pg_settings 
3,13.6,41,3,100.0,"SELECT
    sum(psat.autovacuum_count) AS total_autovacuum_count,
    sum(psat.autoanalyze_count) AS total_autoanalyze_co"
22,1.7,38,0,,"SELECT *,
				(case pg_is_in_recovery() when $1 then pg_last_wal_receive_lsn() else pg_current_wal_lsn() end) AS pg_curr"
3,12.3,37,3,100.0,"SELECT
			COALESCE(sum(psat.n_tup_upd), $1) AS total_update_count,
			COALESCE(sum(psat.n_tup_hot_upd), $2) AS hot_updat"
3,10.9,33,3,100.0,"SELECT
    sum(psat.autovacuum_count) AS total_autovacuum_count,
    sum(psat.autoanalyze_count) AS total_autoanalyze_co"
3,8.7,26,3,100.0,"SELECT
			COALESCE(sum(psat.n_tup_upd), $1) AS total_update_count,
			COALESCE(sum(psat.n_tup_hot_upd), $2) AS hot_updat"
3,6.0,18,3,100.0,"SELECT COALESCE(SUM(pg_stat_get_live_tuples(c.oid)), $1) AS n_live_tup, COALESCE(SUM(pg_stat_get_dead_tuples(c.oid)), $2"
