element_num,depth,attributes,parent_num
75,12,"accessibilityText=QA route menu; resource-id=gromo-2057-open-route-picker; bounds=[8,40][52,72]; enabled=true; enabled=true",74
76,9,"bounds=[0,0][834,1210]; enabled=true; enabled=true",8
77,10,"bounds=[0,0][834,1210]; enabled=true; enabled=true",76
78,11,"bounds=[0,0][834,1210]; enabled=true; enabled=true",77
79,1,"bounds=[0,0][0,0]",0
80,2,"bounds=[0,0][834,32]; enabled=true; enabled=true",79
81,2,"bounds=[0,0][834,32]; enabled=true; enabled=true",79
82,3,"bounds=[0,0][834,32]; enabled=true; enabled=true",81
83,4,"bounds=[0,0][834,32]; enabled=true; enabled=true",82
84,5,"bounds=[25,11][379,21]; enabled=true; enabled=true",83
85,6,"accessibilityText=4:38 PM; bounds=[25,7][79,24]; enabled=true; enabled=true",84
86,6,"accessibilityText=Fri Sep 25; bounds=[89,7][157,24]; enabled=true; enabled=true",84
87,5,"bounds=[455,11][808,21]; enabled=true; enabled=true",83
88,6,"value=SSID, 3 of 3 Wi-Fi bars; text=SSID, 3 of 3 Wi-Fi bars; resource-id=3 of 3 Wi-Fi bars; bounds=[719,11][734,21]; enabled=true; enabled=true",87
89,6,"accessibilityText=100%; bounds=[738,7][778,24]; enabled=true; enabled=true",87
90,6,"accessibilityText=100% battery power; value=Not charging; text=Not charging; bounds=[780,9][808,22]; enabled=true; enabled=true",87
